library,operation,dtype,channels,duration_s,iterations,warmup,chunk_size,cold_cache,avg_ms,stddev_ms,p50_ms,p90_ms,p99_ms,cv
hound,streamed-read,i16,1,600,100,0,16384,1,259.776266,4.079689,258.373759,266.33407,272.716314,0.015705
hound,streamed-read,i16,1,600,100,0,4096,1,258.901465,3.502535,257.911903,262.189828,270.635559,0.013528
hound,streamed-read,i16,1,600,100,0,512,1,260.092686,6.366041,257.128029,268.365129,283.069178,0.024476
hound,streamed-read,i16,1,600,100,0,8192,1,259.072407,2.699202,258.083429,262.670675,268.857075,0.010419
hound,streamed-read,i16,1,60,100,0,1024,1,26.56399,0.663635,26.353158,27.266424,29.763243,0.024982
hound,streamed-read,i16,1,60,100,0,16384,1,26.382307,0.456239,26.279375,26.709122,28.337226,0.017293
hound,streamed-read,i16,1,60,100,0,4096,1,26.934605,0.967377,26.586631,28.46823,29.789877,0.035916
hound,streamed-read,i16,1,60,100,0,512,1,26.389955,0.721966,26.186878,27.074684,29.090818,0.027358
hound,streamed-read,i16,1,60,100,0,8192,1,26.821321,1.083653,26.391593,28.172773,30.51779,0.040403
hound,streamed-read,i16,2,10,100,0,1024,1,9.201831,0.179192,9.15578,9.375009,9.717929,0.019473
hound,streamed-read,i16,2,10,100,0,16384,1,9.217374,0.333772,9.111396,9.553933,10.230204,0.036211
hound,streamed-read,i16,2,10,100,0,4096,1,9.231803,0.287697,9.15243,9.4055,10.285645,0.031164
hound,streamed-read,i16,2,10,100,0,512,1,9.191708,0.228491,9.12567,9.300629,10.233808,0.024858
hound,streamed-read,i16,2,10,100,0,8192,1,9.152969,0.103763,9.141069,9.267145,9.558072,0.011336
hound,streamed-read,i16,2,1,100,0,1024,1,1.502884,0.035989,1.494266,1.544007,1.622185,0.023947
hound,streamed-read,i16,2,1,100,0,16384,1,1.484428,0.055048,1.488151,1.535159,1.669783,0.037083
hound,streamed-read,i16,2,1,100,0,4096,1,1.50981,0.042142,1.499452,1.567931,1.658326,0.027912
hound,streamed-read,i16,2,1,100,0,512,1,1.490518,0.046334,1.484556,1.517067,1.648136,0.031086
hound,streamed-read,i16,2,1,100,0,8192,1,1.512095,0.044933,1.511396,1.565771,1.619389,0.029716
hound,streamed-read,i16,2,300,100,0,1024,1,260.291799,4.476665,258.850329,266.249073,273.094491,0.017199
hound,streamed-read,i16,2,300,100,0,16384,1,258.999744,4.195497,257.521695,263.133483,277.092657,0.016199
hound,streamed-read,i16,2,300,100,0,4096,1,259.917377,4.142973,258.882855,264.845586,272.924924,0.01594
hound,streamed-read,i16,2,300,100,0,512,1,257.972329,3.353877,257.3313,261.242262,272.023724,0.013001
hound,streamed-read,i16,2,300,100,0,8192,1,259.160022,3.043747,258.270775,262.348512,273.327373,0.011745
hound,streamed-read,i16,2,30,100,0,1024,1,26.327374,0.628216,26.135151,26.855068,29.444344,0.023862
hound,streamed-read,i16,2,30,100,0,16384,1,26.471395,0.485166,26.328233,27.004713,27.918306,0.018328
hound,streamed-read,i16,2,30,100,0,4096,1,26.272714,0.412091,26.179848,26.601363,27.696662,0.015685
hound,streamed-read,i16,2,30,100,0,512,1,26.382268,0.726784,26.129758,26.837839,29.372321,0.027548
hound,streamed-read,i16,2,30,100,0,8192,1,26.382162,0.48998,26.237258,26.6808,28.13947,0.018572
hound,streamed-read,i16,2,5,100,0,1024,1,4.925608,0.137362,4.897764,5.040169,5.449401,0.027887
hound,streamed-read,i16,2,5,100,0,16384,1,4.969092,0.134064,4.95025,5.040283,5.681279,0.026979
hound,streamed-read,i16,2,5,100,0,4096,1,4.959942,0.105811,4.932039,5.073426,5.328131,0.021333
hound,streamed-read,i16,2,5,100,0,512,1,4.971286,0.116742,4.946796,5.12015,5.314117,0.023483
hound,streamed-read,i16,2,5,100,0,8192,1,4.909811,0.123729,4.888942,4.999471,5.449841,0.0252
hound,streamed-read,i16,2,600,100,0,1024,1,518.299604,6.248987,517.125414,526.834747,535.916466,0.012057
hound,streamed-read,i16,2,600,100,0,16384,1,518.630007,6.262317,516.500596,525.286193,544.225561,0.012075
hound,streamed-read,i16,2,600,100,0,4096,1,517.306285,5.863799,515.922071,521.759879,539.469688,0.011335
hound,streamed-read,i16,2,600,100,0,512,1,517.148357,7.714588,514.216899,526.446497,548.808489,0.014918
hound,streamed-read,i16,2,600,100,0,8192,1,516.073973,5.865278,514.930365,521.329083,537.037076,0.011365
hound,streamed-read,i16,2,60,100,0,1024,1,51.69391,0.546171,51.509626,52.372595,53.577906,0.010565
hound,streamed-read,i16,2,60,100,0,16384,1,51.714856,0.529487,51.560071,52.354767,54.158729,0.010239
hound,streamed-read,i16,2,60,100,0,4096,1,51.911934,1.303396,51.570211,52.737707,58.130977,0.025108
hound,streamed-read,i16,2,60,100,0,512,1,51.753365,0.729679,51.620771,52.128087,55.349081,0.014099
hound,streamed-read,i16,2,60,100,0,8192,1,52.158419,0.674271,52.040807,52.902644,53.840223,0.012927
hound,streamed-read,i32,1,10,100,0,1024,1,3.927733,0.33455,3.841728,4.172971,5.473316,0.085176
hound,streamed-read,i32,1,10,100,0,16384,1,3.882133,0.236661,3.822423,4.169026,4.595322,0.060962
hound,streamed-read,i32,1,10,100,0,4096,1,3.778172,0.1294,3.750425,3.954892,4.167736,0.034249
hound,streamed-read,i32,1,10,100,0,512,1,3.87603,0.263592,3.802278,4.223682,4.627322,0.068006
hound,streamed-read,i32,1,10,100,0,8192,1,3.790901,0.170582,3.76767,3.942218,4.281814,0.044998
hound,streamed-read,i32,1,1,100,0,1024,1,1.1241,0.15087,1.059249,1.328393,1.364471,0.134214
hound,streamed-read,i32,1,1,100,0,16384,1,1.147698,0.137719,1.111248,1.316157,1.373344,0.119996
hound,streamed-read,i32,1,1,100,0,4096,1,1.092677,0.121354,1.06748,1.276143,1.331378,0.111061
hound,streamed-read,i32,1,1,100,0,512,1,1.179827,0.130479,1.174193,1.340518,1.377265,0.110592
hound,streamed-read,i32,1,1,100,0,8192,1,1.146763,0.154488,1.127273,1.32165,1.439154,0.134716
hound,streamed-read,i32,1,300,100,0,1024,1,89.411238,3.775436,88.704774,93.465136,99.184778,0.042226
hound,streamed-read,i32,1,300,100,0,16384,1,89.763545,4.63967,88.600723,94.813324,103.667223,0.051688
hound,streamed-read,i32,1,300,100,0,4096,1,89.495027,3.646618,89.123924,92.82614,101.231176,0.040747
hound,streamed-read,i32,1,300,100,0,512,1,88.727166,3.721622,88.099554,92.774202,99.089781,0.041945
hound,streamed-read,i32,1,300,100,0,8192,1,91.123435,6.355883,88.815804,101.001205,110.645611,0.06975
hound,streamed-read,i32,1,30,100,0,1024,1,9.403216,0.824562,9.25259,10.22837,12.15424,0.087689
hound,streamed-read,i32,1,30,100,0,16384,1,9.387595,0.487254,9.251977,9.924321,11.434289,0.051904
hound,streamed-read,i32,1,30,100,0,4096,1,9.337921,0.77633,9.210436,9.761791,11.582537,0.083137
hound,streamed-read,i32,1,30,100,0,512,1,9.570363,0.620235,9.413898,10.339172,12.07643,0.064808
hound,streamed-read,i32,1,30,100,0,8192,1,9.27567,0.437697,9.174739,9.689707,10.969232,0.047188
hound,streamed-read,i32,1,5,100,0,1024,1,2.219332,0.095815,2.202319,2.340342,2.531556,0.043173
hound,streamed-read,i32,1,5,100,0,16384,1,2.33251,0.095778,2.316762,2.446808,2.619159,0.041062
hound,streamed-read,i32,1,5,100,0,4096,1,2.272419,0.116601,2.248373,2.405451,2.716231,0.051311
hound,streamed-read,i32,1,5,100,0,512,1,2.19706,0.0587,2.188642,2.261833,2.342433,0.026718
hound,streamed-read,i32,1,5,100,0,8192,1,2.350411,0.228697,2.302672,2.43086,2.910409,0.097301
hound,streamed-read,i32,1,600,100,0,1024,1,177.308635,7.603261,175.663807,183.827666,207.060635,0.042882
hound,streamed-read,i32,1,600,100,0,16384,1,177.343604,7.604513,176.248403,183.5891,208.154766,0.04288
hound,streamed-read,i32,1,600,100,0,4096,1,180.523445,9.624504,178.674472,198.010137,210.216879,0.053314
hound,streamed-read,i32,1,600,100,0,512,1,178.805409,8.277778,177.038727,188.425587,211.376507,0.046295
hound,streamed-read,i32,1,600,100,0,8192,1,181.111683,9.779182,179.693577,194.83232,205.675884,0.053995
hound,streamed-read,i32,1,60,100,0,1024,1,18.796533,1.58846,18.462409,19.795585,26.582836,0.084508
hound,streamed-read,i32,1,60,100,0,16384,1,18.687935,1.23671,18.462164,19.694077,22.516472,0.066177
hound,streamed-read,i32,1,60,100,0,4096,1,18.828994,1.064556,18.656544,19.535128,22.128295,0.056538
hound,streamed-read,i32,1,60,100,0,512,1,18.833006,1.104364,18.630106,19.828846,22.554446,0.05864
hound,streamed-read,i32,1,60,100,0,8192,1,18.651286,1.095279,18.307392,19.780155,22.237607,0.058724
hound,streamed-read,i32,2,10,100,0,1024,1,6.771091,0.354855,6.646466,7.164972,7.84535,0.052407
hound,streamed-read,i32,2,10,100,0,16384,1,6.695133,0.405661,6.618068,7.009239,8.400904,0.06059
hound,streamed-read,i32,2,10,100,0,4096,1,6.830298,0.45318,6.684066,7.624547,7.960201,0.066348
hound,streamed-read,i32,2,10,100,0,512,1,6.792597,0.336332,6.692711,7.197973,7.581793,0.049515
hound,streamed-read,i32,2,10,100,0,8192,1,6.857746,0.564631,6.689827,7.681671,8.780395,0.082335
hound,streamed-read,i32,2,1,100,0,1024,1,1.418795,0.057819,1.409877,1.494008,1.610384,0.040752
hound,streamed-read,i32,2,1,100,0,16384,1,1.384395,0.068633,1.372518,1.457928,1.56858,0.049576
hound,streamed-read,i32,2,1,100,0,4096,1,1.449769,0.077985,1.440645,1.521106,1.696706,0.053791
hound,streamed-read,i32,2,1,100,0,512,1,1.394044,0.064137,1.384091,1.451678,1.680986,0.046008
hound,streamed-read,i32,2,1,100,0,8192,1,1.399775,0.087081,1.388372,1.500516,1.681626,0.062211
hound,streamed-read,i32,2,300,100,0,1024,1,175.026387,5.870019,173.445186,180.393641,193.118251,0.033538
hound,streamed-read,i32,2,300,100,0,16384,1,176.065555,5.25064,175.990408,182.006907,190.963156,0.029822
hound,streamed-read,i32,2,300,100,0,4096,1,176.402632,6.353282,175.30753,183.769445,196.796571,0.036016
hound,streamed-read,i32,2,300,100,0,512,1,176.985576,6.667888,175.878471,185.505651,197.339609,0.037675
hound,streamed-read,i32,2,300,100,0,8192,1,176.189442,7.731791,174.713573,181.763405,195.094053,0.043883
hound,streamed-read,i32,2,30,100,0,1024,1,18.697639,1.486116,18.307384,20.667996,23.968224,0.079481
hound,streamed-read,i32,2,30,100,0,16384,1,18.598892,0.897301,18.410054,19.634599,21.0236,0.048245
hound,streamed-read,i32,2,30,100,0,4096,1,18.484216,1.306611,18.300161,19.440608,23.765853,0.070688
hound,streamed-read,i32,2,30,100,0,512,1,18.363307,0.743021,18.299095,19.186779,20.314068,0.040462
hound,streamed-read,i32,2,30,100,0,8192,1,18.351728,1.274944,18.115141,19.904627,23.230342,0.069473
hound,streamed-read,i32,2,5,100,0,1024,1,3.601208,0.128865,3.595623,3.757014,3.908278,0.035784
hound,streamed-read,i32,2,5,100,0,16384,1,3.722784,0.209632,3.676402,3.942654,4.46633,0.056311
